// output of ./demo/comb/perm-st-gray-demo.cc:
// Description:
//% Gray code for single track permutations:
//% one transposition per update with odd n,
//% one extra transposition once in (n-1)! updates with even n (optimal).

arg 1: 5 == n  [Permutations of n elements (n>=2).]  default=5
  40:    [ 3 2 1 4 . ]    [ 4 2 1 . 3 ]
  41:    [ 3 . 1 4 2 ]    [ 1 2 4 . 3 ]
  42:    [ 2 . 1 4 3 ]    [ 1 2 . 4 3 ]
  43:    [ 2 1 . 4 3 ]    [ 2 1 . 4 3 ]
  44:    [ 3 1 . 4 2 ]    [ 2 1 4 . 3 ]
  45:    [ 3 2 . 4 1 ]    [ 2 4 1 . 3 ]
  46:    [ 1 2 . 4 3 ]    [ 2 . 1 4 3 ]
  47:    [ 1 3 . 4 2 ]    [ 2 . 4 1 3 ]
  48:    [ 2 3 . 4 1 ]    [ 2 4 . 1 3 ]
  49:    [ 2 3 4 . 1 ]    [ 3 4 . 1 2 ]
  50:    [ 2 3 4 1 . ]    [ 4 3 . 1 2 ]
  51:    [ 1 3 4 2 . ]    [ 4 . 3 1 2 ]
  52:    [ 1 3 4 . 2 ]    [ 3 . 4 1 2 ]
  53:    [ . 3 4 1 2 ]    [ . 3 4 1 2 ]
  54:    [ . 3 4 2 1 ]    [ . 4 3 1 2 ]
  55:    [ . 2 4 3 1 ]    [ . 4 1 3 2 ]
  56:    [ . 2 4 1 3 ]    [ . 3 1 4 2 ]
  57:    [ 1 2 4 . 3 ]    [ 3 . 1 4 2 ]
  58:    [ 1 2 4 3 . ]    [ 4 . 1 3 2 ]
  59:    [ 3 2 4 1 . ]    [ 4 3 1 . 2 ]
  60:    [ 3 2 4 . 1 ]    [ 3 4 1 . 2 ]
  61:    [ 3 1 4 . 2 ]    [ 3 1 4 . 2 ]
  62:    [ 3 1 4 2 . ]    [ 4 1 3 . 2 ]
  63:    [ 2 1 4 3 . ]    [ 4 1 . 3 2 ]
  64:    [ 2 1 4 . 3 ]    [ 3 1 . 4 2 ]
  65:    [ . 1 4 2 3 ]    [ . 1 3 4 2 ]
  66:    [ . 1 4 3 2 ]    [ . 1 4 3 2 ]
  67:    [ 1 . 4 3 2 ]    [ 1 . 4 3 2 ]
  68:    [ 1 . 4 2 3 ]    [ 1 . 3 4 2 ]
  69:    [ 2 . 4 1 3 ]    [ 1 3 . 4 2 ]
  70:    [ 2 . 4 3 1 ]    [ 1 4 . 3 2 ]
  71:    [ 3 . 4 2 1 ]    [ 1 4 3 . 2 ]
  72:    [ 3 . 4 1 2 ]    [ 1 3 4 . 2 ]
  73:    [ 3 4 . 1 2 ]    [ 2 3 4 . 1 ]
  74:    [ 3 4 1 . 2 ]    [ 3 2 4 . 1 ]
  75:    [ 3 4 2 . 1 ]    [ 3 4 2 . 1 ]
  76:    [ 3 4 . 2 1 ]    [ 2 4 3 . 1 ]
  77:    [ 3 4 1 2 . ]    [ 4 2 3 . 1 ]
  78:    [ 3 4 2 1 . ]    [ 4 3 2 . 1 ]
  79:    [ 2 4 3 1 . ]    [ 4 3 . 2 1 ]
  80:    [ 2 4 1 3 . ]    [ 4 2 . 3 1 ]
  81:    [ 2 4 . 3 1 ]    [ 2 4 . 3 1 ]
  82:    [ 2 4 3 . 1 ]    [ 3 4 . 2 1 ]
  83:    [ 2 4 1 . 3 ]    [ 3 2 . 4 1 ]
  84:    [ 2 4 . 1 3 ]    [ 2 3 . 4 1 ]
  85:    [ 1 4 . 2 3 ]    [ 2 . 3 4 1 ]
  86:    [ 1 4 2 . 3 ]    [ 3 . 2 4 1 ]
  87:    [ 1 4 3 . 2 ]    [ 3 . 4 2 1 ]
  88:    [ 1 4 . 3 2 ]    [ 2 . 4 3 1 ]
  89:    [ 1 4 2 3 . ]    [ 4 . 2 3 1 ]
  90:    [ 1 4 3 2 . ]    [ 4 . 3 2 1 ]
  91:    [ . 4 3 2 1 ]    [ . 4 3 2 1 ]
  92:    [ . 4 2 3 1 ]    [ . 4 2 3 1 ]
  93:    [ . 4 1 3 2 ]    [ . 2 4 3 1 ]
  94:    [ . 4 3 1 2 ]    [ . 3 4 2 1 ]
  95:    [ . 4 2 1 3 ]    [ . 3 2 4 1 ]
  96:    [ . 4 1 2 3 ]    [ . 2 3 4 1 ]
  97:    [ 4 . 1 2 3 ]    [ 1 2 3 4 . ]
  98:    [ 4 1 . 2 3 ]    [ 2 1 3 4 . ]
  99:    [ 4 2 . 1 3 ]    [ 2 3 1 4 . ]
 100:    [ 4 . 2 1 3 ]    [ 1 3 2 4 . ]
 101:    [ 4 1 2 . 3 ]    [ 3 1 2 4 . ]
 102:    [ 4 2 1 . 3 ]    [ 3 2 1 4 . ]
 103:    [ 4 3 1 . 2 ]    [ 3 2 4 1 . ]
 104:    [ 4 1 3 . 2 ]    [ 3 1 4 2 . ]
 105:    [ 4 . 3 1 2 ]    [ 1 3 4 2 . ]
 106:    [ 4 3 . 1 2 ]    [ 2 3 4 1 . ]
 107:    [ 4 1 . 3 2 ]    [ 2 1 4 3 . ]
 108:    [ 4 . 1 3 2 ]    [ 1 2 4 3 . ]
 109:    [ 4 . 2 3 1 ]    [ 1 4 2 3 . ]
 110:    [ 4 2 . 3 1 ]    [ 2 4 1 3 . ]
 111:    [ 4 3 . 2 1 ]    [ 2 4 3 1 . ]
 112:    [ 4 . 3 2 1 ]    [ 1 4 3 2 . ]
 113:    [ 4 2 3 . 1 ]    [ 3 4 1 2 . ]
 114:    [ 4 3 2 . 1 ]    [ 3 4 2 1 . ]
 115:    [ 4 3 2 1 . ]    [ 4 3 2 1 . ]
 116:    [ 4 2 3 1 . ]    [ 4 3 1 2 . ]
 117:    [ 4 1 3 2 . ]    [ 4 1 3 2 . ]
 118:    [ 4 3 1 2 . ]    [ 4 2 3 1 . ]
 119:    [ 4 2 1 3 . ]    [ 4 2 1 3 . ]
 120:    [ 4 1 2 3 . ]    [ 4 1 2 3 . ]
