// output of ./demo/comb/kperm-lex-demo.cc:
// Description:
//% Generate all k-permutations of n elements in lexicographic order.
//% Same as: k-prefixes of permutations of n elements.
//% Same as: arrangements of k out of n elements.

arg 1: 5 == n  [Total of n elements, n>=1]  default=5
arg 2: 3 == k  [Permutations of k elements, (1<=k<=n)]  default=3
  34:    [ 2 4 . ][ 3 1 ]    [ 2 3 . . ]    [ 2 4 . 3 1 ]
  35:    [ 2 4 1 ][ 3 . ]    [ 2 3 1 . ]    [ 4 2 . 3 1 ]
  36:    [ 2 4 3 ][ 1 . ]    [ 2 3 2 . ]    [ 4 3 . 2 1 ]
  37:    [ 3 . 1 ][ 2 4 ]    [ 3 . . . ]    [ 1 2 3 . 4 ]
  38:    [ 3 . 2 ][ 1 4 ]    [ 3 . 1 . ]    [ 1 3 2 . 4 ]
  39:    [ 3 . 4 ][ 1 2 ]    [ 3 . 2 . ]    [ 1 3 4 . 2 ]
  40:    [ 3 1 . ][ 4 2 ]    [ 3 1 . . ]    [ 2 1 4 . 3 ]
  41:    [ 3 1 2 ][ 4 . ]    [ 3 1 1 . ]    [ 4 1 2 . 3 ]
  42:    [ 3 1 4 ][ 2 . ]    [ 3 1 2 . ]    [ 4 1 3 . 2 ]
  43:    [ 3 2 . ][ 1 4 ]    [ 3 2 . . ]    [ 2 3 1 . 4 ]
  44:    [ 3 2 1 ][ . 4 ]    [ 3 2 1 . ]    [ 3 2 1 . 4 ]
  45:    [ 3 2 4 ][ . 1 ]    [ 3 2 2 . ]    [ 3 4 1 . 2 ]
  46:    [ 3 4 . ][ 2 1 ]    [ 3 3 . . ]    [ 2 4 3 . 1 ]
  47:    [ 3 4 1 ][ 2 . ]    [ 3 3 1 . ]    [ 4 2 3 . 1 ]
  48:    [ 3 4 2 ][ 1 . ]    [ 3 3 2 . ]    [ 4 3 2 . 1 ]
  49:    [ 4 . 1 ][ 2 3 ]    [ 4 . . . ]    [ 1 2 3 4 . ]
  50:    [ 4 . 2 ][ 1 3 ]    [ 4 . 1 . ]    [ 1 3 2 4 . ]
  51:    [ 4 . 3 ][ 1 2 ]    [ 4 . 2 . ]    [ 1 3 4 2 . ]
  52:    [ 4 1 . ][ 3 2 ]    [ 4 1 . . ]    [ 2 1 4 3 . ]
  53:    [ 4 1 2 ][ 3 . ]    [ 4 1 1 . ]    [ 4 1 2 3 . ]
  54:    [ 4 1 3 ][ 2 . ]    [ 4 1 2 . ]    [ 4 1 3 2 . ]
  55:    [ 4 2 . ][ 1 3 ]    [ 4 2 . . ]    [ 2 3 1 4 . ]
  56:    [ 4 2 1 ][ . 3 ]    [ 4 2 1 . ]    [ 3 2 1 4 . ]
  57:    [ 4 2 3 ][ . 1 ]    [ 4 2 2 . ]    [ 3 4 1 2 . ]
  58:    [ 4 3 . ][ 2 1 ]    [ 4 3 . . ]    [ 2 4 3 1 . ]
  59:    [ 4 3 1 ][ 2 . ]    [ 4 3 1 . ]    [ 4 2 3 1 . ]
  60:    [ 4 3 2 ][ 1 . ]    [ 4 3 2 . ]    [ 4 3 2 1 . ]
 ct=60
