#
# Table of weight-7 binary primitive polynomials
# with (roughly) equally spaced coefficients.
#
# The data was taken from:
#   Janusz Rajski, Jerzy Tyszer:
#   "Primitive Polynomials Over GF(2) of Degree up to 660
#   with Uniformly Distributed Coefficients",
#   Journal of Electronic Testing: Theory and Applications,
#   vol.19, pp.645-657, 2003.
#.

101 84 66 49 32 16 0
102 84 65 49 33 17 0
103 87 69 51 34 17 0
104 87 69 53 35 17 0
105 89 71 53 36 18 0
106 87 69 50 34 17 0
107 88 70 51 35 17 0
108 90 73 55 36 18 0
109 92 74 55 37 18 0
110 91 74 56 38 19 0
111 91 72 55 37 18 0
112 93 74 54 35 18 0
113 93 75 55 37 18 0
114 94 76 56 38 19 0
115 97 78 59 38 19 0
116 96 78 59 39 20 0
117 99 79 59 39 19 0
118 99 78 59 39 19 0
119 99 79 60 39 19 0
120 101 81 61 42 20 0
121 101 80 61 41 20 0
122 103 81 59 38 19 0
123 104 82 60 40 20 0
124 105 84 63 42 21 0
125 104 83 63 41 20 0
126 106 84 62 41 21 0
127 106 84 63 42 21 0
128 105 83 62 42 21 0
129 107 86 64 43 21 0
130 109 86 64 43 21 0
131 108 86 65 42 21 0
132 109 87 66 45 22 0
133 110 87 66 44 22 0
134 113 90 67 45 22 0
135 113 89 67 45 22 0
136 113 91 67 45 22 0
137 115 92 68 44 22 0
138 115 93 69 47 23 0
139 116 93 69 46 23 0
140 116 91 68 45 23 0
141 116 93 69 46 23 0
142 118 96 71 46 23 0
143 119 95 70 45 23 0
144 119 96 72 49 25 0
145 122 96 73 48 24 0
146 121 96 70 47 24 0
147 122 97 74 49 25 0
148 122 97 71 48 24 0
149 124 98 73 48 24 0
150 126 101 74 49 25 0
151 125 101 74 50 25 0
152 125 99 75 52 25 0
153 127 101 75 50 25 0
154 128 102 77 51 25 0
155 130 103 76 50 25 0
156 130 105 78 52 26 0
157 132 105 77 51 26 0
158 132 105 78 52 26 0
159 132 105 77 52 26 0
160 133 107 80 53 26 0
161 134 107 79 52 26 0
162 133 107 80 52 26 0
163 137 109 81 54 27 0
164 137 109 81 54 27 0
165 137 108 82 55 27 0
166 139 110 82 55 27 0
167 139 111 83 55 28 0
168 138 109 81 54 27 0
169 140 111 84 57 29 0
170 141 113 84 57 28 0
171 142 113 85 58 28 0
172 143 116 87 58 28 0
173 144 116 87 57 28 0
174 143 114 86 58 28 0
175 147 118 88 58 29 0
176 147 116 88 58 29 0
177 147 119 89 59 30 0
178 148 119 91 60 29 0
179 149 118 87 58 29 0
180 150 120 91 60 30 0
181 150 121 90 59 30 0
182 152 121 90 60 30 0
183 152 121 92 61 30 0
184 153 121 90 58 30 0
185 156 124 92 60 30 0
186 155 125 93 63 31 0
187 157 125 93 62 31 0
188 156 125 93 63 31 0
189 157 127 95 64 32 0
190 157 126 94 64 31 0
191 159 129 96 64 31 0
192 162 129 96 65 32 0
193 162 130 98 65 33 0
194 163 132 99 67 33 0
195 164 131 97 65 32 0
196 161 129 97 64 32 0
197 164 132 98 65 32 0
198 163 131 98 66 33 0
199 165 133 99 67 33 0
200 168 136 101 69 34 0
201 167 135 101 67 34 0
202 167 133 98 65 33 0
203 168 133 100 68 33 0
204 171 138 103 67 34 0
205 170 135 102 68 34 0
206 172 139 104 69 34 0
207 172 138 103 69 35 0
208 173 138 102 69 35 0
209 174 139 105 69 34 0
210 176 142 107 71 35 0
211 175 140 105 71 35 0
212 176 140 105 71 35 0
213 178 142 107 70 35 0
214 177 143 107 72 37 0
215 179 143 108 71 35 0
216 178 144 108 71 35 0
217 182 145 109 73 36 0
218 181 143 107 71 36 0
219 181 143 108 73 36 0
220 183 146 108 70 36 0
221 184 147 109 72 36 0
222 186 149 113 77 38 0
223 185 149 113 75 37 0
224 188 150 113 74 38 0
225 187 151 113 75 38 0
226 188 150 112 75 38 0
227 188 151 114 75 37 0
228 191 151 114 77 39 0
229 190 152 114 75 38 0
230 192 152 113 75 38 0
231 192 154 115 77 38 0
232 196 156 117 77 38 0
233 193 156 116 76 38 0
234 194 155 116 77 39 0
235 197 157 117 78 39 0
236 196 158 117 78 39 0
237 196 157 117 77 39 0
238 197 156 117 78 40 0
239 199 159 119 80 40 0
240 201 162 121 79 39 0
241 202 161 121 80 40 0
242 204 165 123 83 42 0
243 202 160 122 80 41 0
244 202 160 120 81 40 0
245 204 163 123 81 40 0
246 203 161 121 81 40 0
247 207 167 125 83 41 0
248 206 163 122 81 41 0
249 206 164 121 81 40 0
250 208 167 125 83 41 0
251 208 165 125 84 43 0
252 209 168 124 83 42 0
253 212 169 127 85 42 0
254 211 170 126 85 42 0
255 212 171 128 85 43 0
256 212 169 127 86 42 0
257 214 170 127 84 42 0
258 216 174 131 87 44 0
259 215 173 131 87 43 0
260 218 173 130 87 44 0
261 218 176 132 87 43 0
262 219 175 131 86 43 0
263 218 175 131 87 43 0
264 218 174 132 90 45 0
265 220 175 131 87 44 0
266 220 176 132 87 43 0
267 222 177 132 87 44 0
268 222 177 133 89 45 0
269 223 179 133 88 43 0
270 226 179 135 88 44 0
271 225 179 135 89 45 0
272 228 183 136 89 45 0
273 226 180 136 90 46 0
274 229 182 137 91 45 0
275 229 183 137 92 46 0
276 229 183 138 93 46 0
277 232 186 139 94 46 0
278 231 184 137 90 46 0
279 233 185 139 93 46 0
280 232 185 137 93 47 0
281 233 186 139 93 46 0
282 236 189 141 95 48 0
283 237 189 142 95 48 0
284 238 189 140 94 47 0
285 239 192 144 95 48 0
286 238 192 143 95 48 0
287 239 191 143 95 48 0
288 242 195 146 97 48 0
289 242 195 147 97 48 0
290 240 191 143 96 48 0
291 242 195 146 97 48 0
292 242 193 145 98 48 0
293 243 195 145 98 48 0
294 245 195 147 98 49 0
295 245 197 147 98 50 0
296 246 198 148 99 50 0
297 247 197 149 100 49 0
298 250 199 148 100 49 0
299 248 198 150 99 50 0
300 248 198 149 99 50 0
301 250 199 150 101 50 0
302 250 202 151 100 50 0
303 251 202 151 101 50 0
304 252 203 151 100 49 0
305 254 202 152 102 50 0
306 256 205 154 103 51 0
307 257 205 153 101 50 0
308 256 206 153 104 52 0
309 256 205 154 102 51 0
310 259 207 155 102 51 0
311 258 206 153 102 52 0
312 262 208 157 105 52 0
313 261 210 158 105 52 0
314 260 209 156 104 52 0
315 264 211 157 104 53 0
316 262 210 156 105 52 0
317 263 210 159 105 52 0
318 263 211 157 106 53 0
319 265 213 159 107 53 0
320 265 213 161 106 53 0
321 266 213 159 105 53 0
322 267 212 160 108 53 0
323 268 216 161 106 54 0
324 271 215 161 108 55 0
325 272 218 164 109 54 0
326 273 218 165 109 54 0
327 273 218 164 108 54 0
328 272 217 163 109 53 0
329 273 219 163 109 53 0
330 276 221 166 111 55 0
331 275 221 166 111 56 0
332 278 222 166 109 54 0
333 279 224 168 113 56 0
334 278 222 167 111 55 0
335 279 222 165 109 55 0
336 282 224 168 113 57 0
337 279 224 168 112 57 0
338 280 222 168 111 56 0
339 284 226 171 114 56 0
340 282 226 168 113 57 0
341 283 225 169 114 57 0
342 286 227 170 115 57 0
343 287 229 172 116 58 0
344 285 227 170 114 57 0
345 289 230 171 114 58 0
346 290 232 173 115 58 0
347 289 230 171 115 57 0
348 291 231 172 114 57 0
349 292 236 178 118 59 0
350 293 235 177 119 59 0
351 293 234 175 116 58 0
352 295 235 176 117 59 0
353 293 235 175 117 57 0
354 296 238 180 120 59 0
355 295 237 179 120 60 0
356 296 236 178 119 60 0
357 298 238 178 119 59 0
358 298 238 177 118 59 0
359 299 238 177 119 59 0
360 299 240 179 121 61 0
361 300 241 180 121 61 0
362 303 243 183 122 61 0
363 303 244 182 121 60 0
364 302 241 181 121 60 0
365 303 243 182 122 62 0
366 304 242 183 123 61 0
367 306 244 181 122 61 0
368 305 246 182 122 61 0
369 308 248 186 123 61 0
370 307 245 182 121 61 0
371 311 248 185 124 61 0
372 308 248 188 125 62 0
373 312 249 188 126 62 0
374 311 248 187 124 62 0
375 312 251 189 126 63 0
376 312 247 185 124 62 0
377 313 249 188 124 63 0
378 316 251 188 125 62 0
379 316 254 190 127 63 0
380 317 253 190 126 63 0
381 316 254 191 126 64 0
382 318 254 189 125 63 0
383 318 254 190 127 64 0
384 321 259 193 129 63 0
385 322 257 193 128 64 0
386 323 260 195 130 65 0
387 322 259 194 129 65 0
388 325 259 195 130 64 0
389 324 258 192 128 65 0
390 323 260 196 131 65 0
391 325 259 193 129 65 0
392 326 259 194 130 66 0
393 327 263 197 131 65 0
394 327 263 197 132 67 0
395 328 261 196 132 66 0
396 331 265 198 131 66 0
397 332 266 200 134 67 0
398 333 266 201 133 66 0
399 331 264 198 131 65 0
400 332 264 197 130 65 0
401 334 268 200 134 66 0
402 334 269 200 135 67 0
403 334 268 201 135 67 0
404 338 269 201 134 66 0
405 339 272 203 137 68 0
406 338 269 201 134 67 0
407 341 273 204 135 68 0
408 338 271 205 137 68 0
409 340 272 205 135 68 0
410 341 273 207 137 68 0
411 341 272 204 137 68 0
412 343 273 204 137 69 0
413 344 276 206 137 68 0
414 347 278 209 140 70 0
415 345 277 207 139 70 0
416 346 278 207 138 70 0
417 347 278 209 138 69 0
418 347 278 210 141 70 0
419 352 283 212 141 71 0
420 349 280 208 139 70 0
421 350 279 210 141 71 0
422 349 279 208 139 70 0
423 354 282 210 139 69 0
424 352 282 212 139 70 0
425 353 282 211 140 70 0
426 356 286 215 142 70 0
427 356 285 213 142 71 0
428 355 286 213 141 71 0
429 360 287 214 141 71 0
430 360 288 215 142 71 0
431 358 288 218 145 72 0
432 362 291 217 143 70 0
433 361 289 216 144 72 0
434 363 289 217 143 72 0
435 361 290 216 143 72 0
436 365 293 219 147 73 0
437 363 290 218 146 72 0
438 366 291 218 146 73 0
439 367 295 221 148 74 0
440 365 293 220 148 75 0
441 369 295 221 148 74 0
442 369 294 221 147 73 0
443 368 293 219 145 73 0
444 368 292 220 147 75 0
445 372 298 224 150 75 0
446 371 299 224 150 74 0
447 374 299 224 150 74 0
448 371 294 221 148 75 0
449 373 297 223 149 75 0
450 374 299 225 150 75 0
451 377 301 225 152 76 0
452 378 303 226 152 76 0
453 377 303 227 152 75 0
454 377 302 227 151 75 0
455 379 303 227 152 76 0
456 378 301 224 150 76 0
457 383 306 228 153 76 0
458 383 305 230 153 75 0
459 383 309 231 154 76 0
460 386 311 234 156 78 0
461 383 305 227 153 76 0
462 385 310 231 156 77 0
463 386 310 232 154 77 0
464 385 307 230 155 78 0
465 388 310 232 155 77 0
466 387 309 232 156 78 0
467 392 313 234 154 77 0
468 389 312 235 157 78 0
469 389 312 234 157 78 0
470 394 314 235 159 79 0
471 393 313 235 157 78 0
472 394 314 236 157 78 0
473 396 316 237 159 79 0
474 393 313 235 157 79 0
475 394 316 235 157 79 0
476 396 315 238 159 80 0
477 397 319 241 160 80 0
478 398 319 238 159 79 0
479 399 319 239 160 80 0
480 401 320 242 160 79 0
481 399 320 238 159 80 0
482 400 319 240 160 80 0
483 402 321 241 160 80 0
484 402 320 239 158 79 0
485 403 322 240 158 79 0
486 406 325 242 162 81 0
487 407 325 244 161 81 0
488 408 325 245 162 82 0
489 406 323 240 160 80 0
490 407 328 246 163 80 0
491 408 326 243 162 82 0
492 409 327 246 165 82 0
493 411 327 244 163 82 0
494 411 329 247 165 82 0
495 414 331 249 166 83 0
496 412 330 246 162 81 0
497 413 332 250 166 83 0
498 413 331 248 166 84 0
499 414 330 248 165 83 0
500 416 332 248 167 84 0
501 417 335 253 168 83 0
502 420 338 253 168 84 0
503 418 334 250 166 83 0
504 421 334 249 166 84 0
505 422 337 253 170 85 0
506 424 337 254 169 84 0
507 422 337 255 170 84 0
508 425 340 255 169 85 0
509 423 339 255 168 84 0
510 426 340 253 168 85 0
511 427 341 256 171 86 0
512 426 338 255 171 86 0
513 427 341 257 172 86 0
514 430 344 257 171 86 0
515 430 343 256 171 85 0
516 429 341 256 171 86 0
517 433 345 258 171 86 0
518 434 348 261 174 87 0
519 432 346 259 173 86 0
520 433 346 261 173 86 0
521 433 346 258 173 87 0
522 437 349 263 174 87 0
523 436 347 259 173 87 0
524 435 347 262 175 88 0
525 436 349 261 174 87 0
526 440 351 265 176 88 0
527 438 350 262 176 88 0
528 438 351 263 176 88 0
529 440 352 264 176 88 0
530 443 354 264 175 88 0
531 441 354 265 175 88 0
532 443 354 265 177 89 0
533 447 358 268 179 89 0
534 447 358 267 179 91 0
535 445 358 268 177 89 0
536 446 357 269 179 89 0
537 449 359 269 180 90 0
538 450 359 267 179 90 0
539 448 358 270 179 90 0
540 453 362 271 180 91 0
541 450 361 269 179 90 0
542 452 360 269 179 90 0
543 454 364 272 182 91 0
544 455 363 271 179 90 0
545 453 361 271 179 89 0
546 455 365 272 182 91 0
547 457 367 274 182 90 0
548 459 366 275 184 93 0
549 459 367 276 185 92 0
550 460 369 277 184 92 0
551 458 366 276 183 92 0
552 458 367 275 184 91 0
553 459 366 274 183 91 0
554 461 369 275 183 92 0
555 464 371 279 186 92 0
556 465 372 279 185 92 0
557 463 370 278 185 92 0
558 466 371 278 186 94 0
559 465 373 279 186 94 0
560 466 370 279 185 93 0
561 466 374 280 187 92 0
562 467 373 278 184 93 0
563 469 374 282 187 93 0
564 469 377 283 188 95 0
565 471 378 283 189 94 0
566 470 376 283 188 93 0
567 474 381 286 191 95 0
568 473 379 283 189 95 0
569 473 378 283 187 93 0
570 475 381 285 190 95 0
571 477 383 288 191 96 0
572 478 381 287 190 96 0
573 477 380 284 188 95 0
574 477 381 285 191 95 0
575 479 382 286 192 96 0
576 482 384 287 189 95 0
577 481 386 288 192 96 0
578 482 387 290 192 96 0
579 484 387 290 194 96 0
580 482 386 290 192 97 0
581 483 385 290 192 97 0
582 483 387 289 193 98 0
583 487 388 292 195 96 0
584 485 388 290 193 98 0
585 489 390 294 195 97 0
586 488 391 293 195 97 0
587 488 393 296 197 98 0
588 491 392 295 196 97 0
589 489 392 294 196 99 0
590 493 394 294 196 98 0
591 494 396 296 198 98 0
592 493 393 292 196 98 0
593 494 395 297 197 98 0
594 496 396 295 197 99 0
595 495 396 298 198 99 0
596 499 398 297 198 99 0
597 497 398 299 200 99 0
598 496 397 297 198 99 0
599 499 398 300 199 100 0
600 502 401 300 201 100 0
601 500 398 298 199 100 0
602 500 399 299 200 100 0
603 501 403 301 202 102 0
604 503 405 303 202 101 0
605 503 402 302 202 100 0
606 506 405 304 203 102 0
607 505 405 303 203 102 0
608 509 408 306 205 103 0
609 507 406 304 201 101 0
610 507 405 305 203 102 0
611 508 408 305 203 101 0
612 511 411 308 207 103 0
613 512 411 308 207 103 0
614 510 409 305 205 102 0
615 511 411 308 204 101 0
616 512 409 306 206 102 0
617 516 413 309 205 103 0
618 515 413 310 206 103 0
619 515 411 308 205 103 0
620 518 414 310 205 103 0
621 519 414 310 205 104 0
622 516 415 310 208 103 0
623 521 417 313 209 104 0
624 521 419 314 207 104 0
625 522 417 312 208 103 0
626 524 421 317 211 105 0
627 521 416 312 209 104 0
628 522 416 310 206 103 0
629 524 418 316 211 105 0
630 527 424 317 212 107 0
631 526 421 315 210 105 0
632 526 423 318 212 105 0
633 527 423 316 211 105 0
634 526 420 315 211 105 0
635 532 425 319 212 105 0
636 529 425 318 213 106 0
637 530 423 318 213 106 0
638 530 424 319 212 105 0
639 531 425 319 212 106 0
640 534 426 319 211 106 0
641 535 428 320 212 106 0
642 534 427 320 213 107 0
643 534 428 322 214 107 0
644 536 428 322 214 107 0
645 536 430 321 214 107 0
646 537 431 323 217 109 0
647 541 432 323 216 108 0
648 537 430 322 214 108 0
649 539 429 322 215 107 0
650 544 434 324 218 109 0
651 545 438 328 219 109 0
652 543 433 325 219 108 0
653 542 436 326 217 108 0
654 547 436 328 220 111 0
655 545 436 326 217 109 0
656 544 435 327 219 109 0
657 546 438 328 219 109 0
658 550 439 329 219 110 0
659 551 440 329 220 109 0
660 552 444 332 221 110 0
