#
# All polynomials over GF(2) corresponding to type-t Gaussian normal bases
# for types 1<=t<=11 and degrees n<=63.
# Line format is
# n,t: list-of-pol-coefficients
#.
# Generated by Joerg Arndt, 2009-January-31
#


2,1:  2,1,0
15,4:  15,14,12,9,7,5,0
25,4:  25,24,22,19,16,15,12,11,10,9,4,3,2,1,0
37,4:  37,36,34,31,28,27,26,25,24,21,19,18,14,10,9,8,7,3,0
43,4:  43,42,40,37,35,33,31,30,29,28,27,25,24,22,20,18,14,12,11,9,8,7,5,3,0
45,4:  45,44,42,39,36,35,34,33,32,29,27,26,22,18,17,16,15,14,12,10,7,5,2,1,0
49,4:  49,48,46,43,40,39,38,37,36,34,33,32,30,27,22,21,20,19,16,13,12,11,10,9,8,7,4,1,0

2,5:  2,1,0
12,5:  12,11,10,9,8,7,6,5,0
20,5:  20,19,18,17,13,9,5,2,0
26,5:  26,25,24,23,18,17,16,14,13,11,8,6,5,4,2,1,0
36,5:  36,35,34,33,30,26,24,19,18,16,14,13,11,10,7,4,3,1,0
42,5:  42,41,40,39,28,26,25,23,20,15,14,12,11,9,8,7,6,5,3,2,0

1,6:  1,0
2,6:  2,1,0
3,6:  3,2,0
5,6:  5,4,2,1,0
6,6:  6,5,4,2,0
7,6:  7,6,4,1,0
10,6:  10,9,8,6,4,3,0
11,6:  11,10,8,5,2,1,0
13,6:  13,12,10,9,8,7,6,4,3,2,0
17,6:  17,16,14,13,12,11,10,9,7,5,3,1,0
23,6:  23,22,20,17,15,12,10,8,7,4,3,1,0
26,6:  26,25,24,22,20,19,16,14,11,10,9,6,2,1,0
27,6:  27,26,24,21,18,14,12,11,10,9,2,1,0
30,6:  30,29,28,26,24,23,22,21,17,16,11,10,9,8,7,6,3,1,0
33,6:  33,32,30,29,28,27,26,25,23,22,19,16,14,11,8,7,4,1,0
35,6:  35,34,32,29,26,22,19,17,11,5,4,3,2,1,0
37,6:  37,36,34,33,32,31,30,28,27,25,24,20,16,12,11,9,8,7,6,1,0
38,6:  38,37,36,34,32,31,30,29,25,24,23,20,16,15,14,13,7,5,3,2,0
45,6:  45,44,42,41,40,39,38,36,35,33,32,29,26,25,20,19,18,17,16,11,10,6,5,1,0
46,6:  46,45,44,42,40,39,38,37,33,32,31,30,29,26,25,22,21,20,19,9,7,4,2,1,0
47,6:  47,46,44,41,39,36,34,33,32,31,29,26,25,24,23,22,21,19,16,15,13,12,10,9,8,7,6,5,3,2,0
58,6:  58,57,56,54,52,51,48,46,45,42,41,40,38,36,35,33,32,30,28,25,24,23,22,19,18,8,7,6,4,2,0
61,6:  61,60,58,57,56,55,54,52,51,49,48,45,42,41,36,35,31,29,24,23,21,20,18,17,15,13,10,9,7,6,4,3,0
62,6:  62,61,60,58,56,55,54,53,49,48,47,46,45,42,34,33,32,30,28,25,24,23,20,19,16,14,13,12,11,9,7,4,3,1,0
63,6:  63,62,60,57,55,52,50,49,48,47,45,42,41,38,37,36,35,33,31,30,28,25,24,23,22,18,17,16,14,12,9,6,5,3,2,1,0

4,7:  4,3,0
28,7:  28,27,21,19,18,16,11,10,9,7,4,3,0
30,7:  30,29,18,16,15,13,9,8,5,3,2,1,0
54,7:  54,53,47,45,39,38,35,32,31,30,27,24,23,19,17,14,13,12,9,7,4,1,0
60,7:  60,59,52,51,46,45,44,43,40,39,38,36,28,27,26,25,24,23,22,21,20,19,18,17,15,14,12,11,9,7,6,5,3,1,0

5,8:  5,4,2,1,0
9,8:  9,8,6,3,0
11,8:  11,10,8,5,2,1,0
17,8:  17,16,14,10,9,8,7,6,3,1,0
29,8:  29,28,26,23,20,14,13,11,7,6,2,1,0
35,8:  35,34,32,29,26,25,24,17,16,15,13,11,10,1,0
39,8:  39,38,36,32,29,28,27,25,24,23,22,21,20,19,18,17,16,14,13,9,7,1,0
51,8:  51,50,48,45,44,43,42,40,38,37,36,35,32,31,29,25,23,20,19,18,16,14,13,12,8,2,0

2,9:  2,1,0
4,9:  4,3,2,1,0
18,9:  18,17,16,15,14,13,11,10,9,7,6,4,2,1,0
20,9:  20,19,18,17,16,15,12,11,10,8,7,6,3,2,0
34,9:  34,33,32,31,30,29,27,26,25,24,23,22,19,15,13,10,4,3,0
42,9:  42,41,40,39,38,37,31,28,26,19,17,15,13,12,11,8,7,4,0
44,9:  44,43,42,41,40,39,37,31,30,29,26,25,24,23,20,18,17,16,12,10,9,8,7,6,4,1,0
58,9:  58,57,56,55,54,53,44,43,42,41,39,38,37,33,31,27,26,25,22,21,20,19,15,13,12,11,10,9,8,3,2,1,0
60,9:  60,59,58,57,56,55,54,53,46,40,39,38,37,32,31,29,26,24,18,16,15,12,11,10,9,5,0

1,10:  1,0
6,10:  6,5,4,2,0
7,10:  7,6,4,1,0
10,10:  10,9,8,5,4,3,0
13,10:  13,12,10,9,8,3,2,1,0
18,10:  18,17,16,13,10,8,7,4,2,1,0
19,10:  19,18,16,11,8,6,4,1,0
21,10:  21,20,18,17,16,14,12,9,5,4,0
27,10:  27,26,24,20,19,18,11,10,9,7,6,5,4,2,0
31,10:  31,30,28,22,21,17,12,11,7,4,0
42,10:  42,41,40,37,36,34,33,32,31,28,26,24,18,14,13,8,5,3,0
43,10:  43,42,40,34,33,32,29,28,26,25,24,22,20,19,18,17,16,12,11,8,4,3,2,1,0
46,10:  46,45,44,41,39,37,36,35,33,30,29,28,27,26,24,23,21,19,18,17,15,14,13,12,11,7,6,5,3,1,0
49,10:  49,48,46,45,44,41,40,39,38,36,35,34,31,27,26,23,22,21,19,17,14,12,11,9,8,7,5,2,0
54,10:  54,53,52,49,48,46,45,44,36,35,31,28,26,25,23,22,21,20,18,16,14,13,11,6,5,3,2,1,0
57,10:  57,56,54,53,52,50,48,47,46,44,42,41,40,35,31,27,26,25,22,21,20,19,18,16,14,11,9,7,6,3,2,1,0

6,11:  6,5,2,1,0
30,11:  30,29,26,25,23,22,20,18,16,12,10,9,8,5,4,3,2,1,0
38,11:  38,37,23,22,20,19,18,17,15,14,12,10,9,8,7,6,5,4,2,1,0
60,11:  60,59,47,43,35,33,32,30,24,23,22,18,17,16,13,10,9,8,5,4,3,2,0

